id;theme;soustheme;type;question;reponse
1;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Hergé ?;Tintin au Tibet
2;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Le Parfum » ?;Patrick Süskind
3;Géographie;Capitales;vrai/faux;Vrai ou faux : Podgorica est la capitale de Monténégro ?;Vrai
4;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : René Descartes est lié à Le cogito ?;Vrai
5;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Pays-Bas est Belgrade ?;Faux (c'est Amsterdam)
6;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Pays d'apparition du virus Ebola — République démocratique du Congo ?;Vrai
7;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Antoni Gaudí ?;Sagrada Família
8;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1945 ?;Bombardement d'Hiroshima
9;Sport;Records & événements;vrai/faux;Vrai ou faux : Capitaine de l'équipe de France championne du monde 2018 — Hugo Lloris ?;Vrai
10;Économie & Finance;Concepts & crises;vrai/faux;Vrai ou faux : Crise financière mondiale liée aux subprimes — 2008 ?;Vrai
11;Géographie;Capitales;vrai/faux;Vrai ou faux : Rabat est la capitale de Maroc ?;Vrai
12;Politique & Institutions;Chefs d'État & organisations;vrai/faux;Vrai ou faux : Nombre de membres permanents au Conseil de sécurité de l'ONU — 5 ?;Vrai
13;Géographie;Capitales;vrai/faux;Vrai ou faux : Doha est la capitale de Qatar ?;Vrai
14;Musique;Œuvres, genres, artistes;ouverte;Chanteuse de 'Rolling in the Deep';Adele
15;Géographie;Capitales;ouverte;De quel pays Erevan est-elle la capitale ?;Arménie
16;Géographie;Capitales;vrai/faux;Vrai ou faux : Budapest est la capitale de Hongrie ?;Vrai
17;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Alexandre Dumas ?;Le Comte de Monte-Cristo
18;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Projet génome humain ?;Sequençage du génome humain
19;Transports & Explorations;Explorations & engins;vrai/faux;Vrai ou faux : Sonde ayant quitté l'héliosphère (2012) — Voyager 1 ?;Vrai
20;Société & Médias;Réseaux, slogans, démographie;ouverte;Journal satirique français fondé en 1970;Le Canard enchaîné
21;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Arabie saoudite est Pékin ?;Faux (c'est Riyad)
22;Histoire;Dates clés;vrai/faux;Vrai ou faux : Peste noire en Europe a eu lieu en 1347 ?;Vrai
23;Droit & Justice;Institutions & textes;vrai/faux;Vrai ou faux : Âge de la majorité civile en France — 18 ans ?;Vrai
24;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Inventeur du theremin — Léon Theremin ?;Vrai
25;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Début de la Première Guerre mondiale ?;1914
26;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Le Parfum » est de Patrick Süskind ?;Vrai
27;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Syrie est Doha ?;Faux (c'est Damas)
28;Géographie;Capitales;ouverte;De quel pays Port of Spain est-elle la capitale ?;Trinité-et-Tobago
29;Théâtre & Danse;Pièces, opéras, ballets;ouverte;Fondateur de la danse contemporaine américaine (mouvements 'chance');Merce Cunningham
